slug,name,industry,subtype,parent,batch,folder,table_count,row_count,tables
"1-50-golf-precision-fitting-instruction","","","","","1","batch-01","21","144","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_retail legacy_photo_migration_queue search_index v_industry_facts_slugs"
"10th-planet-jiu-jitsu-gulf-shores","","","","","1","batch-01","21","109","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_seo entity_sources entity_tags entity_theme industry_fitness_sports search_index v_industry_facts_slugs"
"12eleven","","","","","1","batch-01","1","1","artist_profiles"
"132-gulf-ct-parking","","","","","1","batch-01","23","101","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme industry_parking search_index v_industry_facts_slugs"
"1905-w-1st-st","","","","","1","batch-01","15","45","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_google_maps_links entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_tags entity_theme search_index"
"1956-e-1st-st-parking","","","","","1","batch-01","23","102","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme industry_parking search_index v_industry_facts_slugs"
"1st-class-taxi-military-base-access-Z9o3bc","","","","","1","batch-01","24","80","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_address_areas entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_items_norm_v entity_items_v entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme industry_transportation search_index v_industry_facts_slugs"
"20-hour-overnight-expedition","","","","","1","batch-01","14","35","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_items_norm_v entity_items_v entity_modules entity_offer entity_photos entity_theme search_index"
"20115-state-highway-135-parking","","","","","1","batch-01","24","90","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full bookable_resources bookable_resources_json_backup entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme industry_parking recovery_import_log search_index v_industry_facts_slugs"
"20115-state-park-rd","","","","","1","batch-01","17","49","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full bookable_resources bookable_resources_json_backup entity_address_areas entity_completeness_v entity_google_maps_links entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_tags entity_theme search_index"
"22698-perdido-beach-blvd-parking","","","","","1","batch-01","16","34","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_items_norm_v entity_items_v entity_offer entity_photos entity_tags entity_theme industry_parking search_index v_industry_facts_slugs"
