industry,subtype,table,businesses,total,pct,class
(none),(none),artist_profiles,390,413,94.4,CORE
(none),(none),ai_data_completeness_audit_full,17,413,4.1,PARTIAL
(none),(none),ai_entity_intent_tags_full,17,413,4.1,PARTIAL
(none),(none),ai_entity_profiles_full,17,413,4.1,PARTIAL
(none),(none),ai_photo_index_full,17,413,4.1,PARTIAL
(none),(none),entity_modules,17,413,4.1,PARTIAL
(none),(none),songs,1,413,0.2,PARTIAL
(none),(none),entity_amenities,1,413,0.2,PARTIAL
(none),(none),tourist_seen,1,413,0.2,PARTIAL
(none),(none),tourist_swipe_events,1,413,0.2,PARTIAL
food_beverage,restaurant,entity,224,224,100.0,CORE
food_beverage,restaurant,industry_food_beverage,224,224,100.0,CORE
food_beverage,restaurant,v_industry_facts_slugs,224,224,100.0,CORE
food_beverage,restaurant,search_index,223,224,99.6,CORE
food_beverage,restaurant,entity_completeness_v,217,224,96.9,CORE
food_beverage,restaurant,entity_theme,186,224,83.0,CORE
food_beverage,restaurant,ai_data_completeness_audit_full,133,224,59.4,COMMON
food_beverage,restaurant,ai_entity_intent_tags_full,133,224,59.4,COMMON
food_beverage,restaurant,ai_entity_profiles_full,133,224,59.4,COMMON
food_beverage,restaurant,entity_tags,132,224,58.9,COMMON
food_beverage,restaurant,ai_photo_index_full,120,224,53.6,COMMON
food_beverage,restaurant,entity_photos,120,224,53.6,COMMON
food_beverage,restaurant,entity_hours,118,224,52.7,COMMON
food_beverage,restaurant,entity_modules,110,224,49.1,COMMON
food_beverage,restaurant,entity_attributes,82,224,36.6,COMMON
food_beverage,restaurant,entity_google_maps_links,82,224,36.6,COMMON
food_beverage,restaurant,entity_nearby_landmark_types,82,224,36.6,COMMON
food_beverage,restaurant,entity_nearby_landmarks,82,224,36.6,COMMON
food_beverage,restaurant,entity_google_reviews,79,224,35.3,COMMON
food_beverage,restaurant,entity_reviews,79,224,35.3,COMMON
food_beverage,restaurant,recovery_import_log,60,224,26.8,COMMON
food_beverage,restaurant,catalog_sections,55,224,24.6,COMMON
food_beverage,restaurant,ai_unified_search_items_full,54,224,24.1,COMMON
food_beverage,restaurant,catalog_section_days,53,224,23.7,COMMON
food_beverage,restaurant,entity_offer,50,224,22.3,COMMON
food_beverage,restaurant,entity_items_norm_v,49,224,21.9,COMMON
food_beverage,restaurant,entity_items_v,49,224,21.9,COMMON
