table,total_rows,slug_attached_rows,distinct_slugs
entity_tags,83480,83480,3194
entity_photos,52191,52191,2789
entity_nearby_landmark_types,42036,42036,2252
entity_modules,37847,37847,2856
search_index,35182,35182,4034
ai_photo_index_full,27766,27766,2547
ai_entity_intent_tags_full,27275,27275,2876
entity_attributes,21744,21744,2332
entity_offer,18138,18138,1478
entity_hours,15116,15116,2137
entity_items_norm_v,15028,15028,1440
entity_items_v,15028,15028,1440
catalog_section_days,13782,13782,243
menu_section_days,13350,13350,204
entity_nearby_landmarks,12751,12751,2301
catalog_items,12216,12216,216
menu_items,11147,11147,205
entity_reviews,10988,10988,2248
entity_google_reviews,10591,10591,2225
ai_unified_search_items_full,10246,10246,227
ai_menu_item_tag_values,9614,9614,28
entity_theme,4034,4034,3883
entity_completeness_v,4020,4020,4020
v_industry_facts_slugs,3594,3594,3594
ai_data_completeness_audit_full,2876,2876,2876
ai_entity_profiles_full,2876,2876,2876
entity_offer_section,2664,2664,293
recovery_import_log,2589,2589,557
entity_highlights,2473,2473,247
legacy_photo_migration_queue,2424,2424,861
entity_google_maps_links,2400,2400,2397
entity_address_areas,2299,2299,1439
catalog_sections,2164,2164,249
ai_menu_item_tags,1978,1978,28
menu_sections,1940,1940,209
menu_section_details,1925,1925,204
entity_sources,1552,1552,950
entity_good_for,1551,1551,161
entity_events,1222,1222,167
drink_items,1112,1112,40
ai_drink_item_tag_values,1071,1071,20
entity_secondary_hours,1064,1064,130
bookable_resources,1055,1055,1032
bookable_resources_json_backup,1008,1008,1006
offerings,954,954,235
ai_event_planner_index_full,840,840,114
offering_prices,815,815,180
menu_item_details,768,768,23
entity_amenities,756,756,103
entity_seo_keywords,701,701,102
industry_food_beverage,699,699,699
requirements,609,609,133
industry_retail,539,539,539
ai_planner_profile_tags,463,463,29
ai_planner_intent_tags,461,461,29
ai_drink_item_tags,420,420,20
artist_profiles,390,390,390
menu_item_tags,380,380,3
tourist_swipe_events,354,354,199
whats_included,344,344,89
entity_section_items,333,333,206
faqs,305,305,66
entity_sections,300,300,284
industry_condo,298,298,298
charter_trip_fish_species,290,290,2
entity_conflicts,288,272,270
service_menu,285,285,212
entity_faqs,282,282,29
charter_trip_included,245,245,2
tourist_seen,238,238,199
activity_options,236,236,65
pricing_items,210,210,66
industry_hotel,203,203,203
deep_crawl_jobs,200,0,0
industry_charter_fishing,191,191,191
industry_outdoor_recreation,186,186,186
entity_seo,177,177,177
personal_care_services,171,171,101
entity_section_items_metadata_backup,170,170,160
inventory_items,166,166,5
products,166,166,5
drink_sections,163,163,40
industry_tour_operator,162,162,162
industry_personal_care,161,161,161
rental_units,156,156,155
happy_hour_items,154,154,29
industry_vacation_rental,132,132,132
drink_item_option_groups,118,118,1
industry_rental,111,111,111
industry_cafe_dessert,106,106,106
offerings_details_backup,106,106,55
ai_voice_snippets,99,99,29
ai_data_quality_issues,92,92,29
industry_trade_home_service,91,91,91
entity_known_for,88,88,17
industry_attraction,88,88,88
fish_species_peak_months,86,86,3
happy_hour_sections,83,83,73
industry_fitness_sports,78,78,78
industry_health_medical,77,77,77
meeting_points,75,75,75
industry_bar_nightlife,74,74,74
menu_item_option_groups,73,73,1
entity_policies,72,72,34
industry_professional_service,72,72,72
charter_trip_what_to_bring,70,70,2
charter_target_species,68,68,3
charter_trips,63,63,2
trade_home_services,60,60,57
industry_cruise_tour,59,59,59
entity_specials,58,58,33
fish_species_best_bait,58,58,3
industry_entertainment_venue,54,54,54
ai_facts,53,53,1
tourist_saves,51,51,51
entity_offer_fee,50,50,50
industry_property_management,49,49,49
industry_event_venue,47,47,47
fish_species_fishing_method,45,45,3
happy_hour_section_days,44,44,5
menu_period_days,40,40,3
industry_civic,39,39,39
industry_marina,38,38,38
amenities,37,37,3
marina_store_items,37,37,7
vessels,37,37,27
charter_fishing_type,36,36,19
fish_species,36,36,3
industry_watersport,32,32,32
industry_parking,31,31,31
health_medical_services,30,30,30
ai_data_quality_audit,29,29,29
ai_planner_profiles,29,29,29
whats_excluded,28,28,15
industry_golf,24,24,24
place_facts,24,24,1
professional_services,24,24,24
industry_artist,23,23,23
what_to_bring,22,22,4
industry_performing_arts,20,20,20
entity_gallery,17,17,3
industry_transportation,17,17,17
qr_codes,16,0,0
entity_team_members,15,15,1
songs,15,15,1
marina_seasonal_hours,14,14,1
industry_photography,13,13,13
vessel_features,13,13,1
marina_products,12,12,1
menu_periods,12,12,4
marina_bait_items,10,10,5
dressings,9,9,1
entity_fuel_prices,8,8,2
marina_details,7,7,7
marina_vessels,7,7,1
marina_contacts,6,6,1
watersport_equipment,6,6,1
entity_external_listing,5,5,5
entity_rotating_section_items,5,5,1
tourist_click_events,5,5,5
entity_refund_policy,4,4,2
entity_section_item_features,4,4,1
marina_bridge_clearances,4,4,1
entity_sides,3,3,1
event_space,3,3,1
marina_slips,3,3,1
menu_item_preparation_choices,3,3,1
menu_item_served_with,3,3,1
drink_section_days,2,2,1
entity_rotating_sections,2,2,1
fleet_items,2,2,1
property_details,2,2,2
room_types,2,2,1
entity_offer_deposit,1,1,1
marina_fuel_types,1,1,1
marina_profiles,1,1,1
menu_item_requirements,1,1,1
qr_scans,1,0,0
transportation_providers,1,1,1
users,1,1,1
access_info,0,0,0
action_audit_log,0,0,0
activity_details,0,0,0
activity_schedules,0,0,0
announcements,0,0,0
artist_booking_requests,0,0,0
artist_follows,0,0,0
artist_goals,0,0,0
artist_shows,0,0,0
attractions,0,0,0
availability,0,0,0
beverage_servings,0,0,0
booking_calendar,0,0,0
booking_opt_ins,0,0,0
booking_provider_map,0,0,0
bookings,0,0,0
brands,0,0,0
business_availability,0,0,0
business_invites,0,0,0
business_staff,0,0,0
charter_trip_meeting_points,0,0,0
charter_trip_requirements,0,0,0
charter_trip_weather_policies,0,0,0
civic_contacts,0,0,0
civic_meetings,0,0,0
civic_services,0,0,0
class_schedule,0,0,0
customer_consents,0,0,0
customer_transactions,0,0,0
daily_features,0,0,0
delivery_zones,0,0,0
email_parser_log,0,0,0
entity_about_bullets,0,0,0
entity_availability,0,0,0
entity_blog_posts,0,0,0
entity_bookings,0,0,0
entity_credentials,0,0,0
entity_daily_features,0,0,0
entity_edit_log,0,0,0
entity_external_calendars,0,0,0
entity_ical_feeds,0,0,0
entity_module_grants,0,0,0
entity_owners,0,0,0
entity_perfect_for,0,0,0
entity_photo_links,0,0,0
entity_social_posts,0,0,0
entity_warranty,0,0,0
facilities,0,0,0
fees,0,0,0
fulfillment_settings,0,0,0
gcr_deals,0,0,0
golf_courses,0,0,0
golf_lessons,0,0,0
golf_memberships,0,0,0
golf_rentals,0,0,0
hours_exceptions,0,0,0
hub_details,0,0,0
ical_availability_blocks,0,0,0
item_reviews,0,0,0
lodging_checkin_locations,0,0,0
lodging_common_areas,0,0,0
lodging_parking_transport,0,0,0
lodging_property_facilities,0,0,0
lodging_property_rules,0,0,0
lodging_waterfront_access,0,0,0
loyalty_members,0,0,0
loyalty_programs,0,0,0
marina_bar_menu_sections,0,0,0
marina_booking_links,0,0,0
marina_business_faqs,0,0,0
marina_data_conflicts,0,0,0
marina_page_sections,0,0,0
marina_payment_methods,0,0,0
marina_promotions,0,0,0
marina_slip_units,0,0,0
marina_sources,0,0,0
marina_storage,0,0,0
marina_what_to_bring,0,0,0
marketplace_commissions,0,0,0
music_links,0,0,0
order_links,0,0,0
orders,0,0,0
outdoor_recreation_activities,0,0,0
outdoor_recreation_fees,0,0,0
page_rail_items,0,0,0
parking_lots,0,0,0
payment_confirmations,0,0,0
performing_arts_shows,0,0,0
photography_packages,0,0,0
price_items,0,0,0
product_categories,0,0,0
promos,0,0,0
property_fees,0,0,0
quote_requests,0,0,0
resource_availability_slots,0,0,0
review_invites,0,0,0
reward_redemptions,0,0,0
seasonal_info,0,0,0
service_addons,0,0,0
service_area_zones,0,0,0
service_categories,0,0,0
service_packages,0,0,0
service_portfolio_photos,0,0,0
shop_links,0,0,0
shoutouts,0,0,0
slip_agreements,0,0,0
social_posts,0,0,0
song_requests,0,0,0
spot_details,0,0,0
spot_rules,0,0,0
staff_availability,0,0,0
stay_links,0,0,0
table_orders,0,0,0
table_sessions,0,0,0
tap_lines,0,0,0
tip_links,0,0,0
tourist_group_saves,0,0,0
tourist_itineraries,0,0,0
tourist_photos,0,0,0
tourist_points,0,0,0
transportation_routes,0,0,0
tripswipe_business_settings,0,0,0
tripswipe_sponsored,0,0,0
utility_meter_readings,0,0,0
vessel_engines,0,0,0
vessel_facilities,0,0,0
vessel_fishing_equipment,0,0,0
vessel_safety_equipment,0,0,0
waivers,0,0,0
weather_rules,0,0,0
